region,club,type,distance,date,route,rt_url,rtid,event_url,eid
NC: Asheville,Asheville International Randonneurs / 933011,RUSAP,101.0,2018/09/01,Pisgah Punch Populaire,/cgi-bin/routesearch_PF.pl?rtid=2013,2013,/cgi-bin/resultsearch_PF.pl?eid=9622&esortby=cert,9622
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,362.0,2018/09/01,Mineral Wells 360k,/cgi-bin/routesearch_PF.pl?rtid=1089,1089,/cgi-bin/resultsearch_PF.pl?eid=8945&esortby=cert,8945
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,600.0,2018/09/01,MW 600 - 2008,/cgi-bin/routesearch_PF.pl?rtid=609,609,/cgi-bin/resultsearch_PF.pl?eid=8946&esortby=cert,8946
CA: Davis,Davis Bike Club / 905014,RUSAB,200.0,2018/09/01,Davis-Calistoga-Davis 200Km,/cgi-bin/routesearch_PF.pl?rtid=1163,1163,/cgi-bin/resultsearch_PF.pl?eid=9442&esortby=cert,9442
WA: Seattle,Seattle International Randonneurs / 947018,ACPB,600.0,2018/09/01,2018 Summer 600,/cgi-bin/routesearch_PF.pl?rtid=2309,2309,/cgi-bin/resultsearch_PF.pl?eid=9500&esortby=cert,9500
NY: Central/Western,Rochester Bicycling Club / 932030,ACPB,300.0,2018/09/01,John's Waterfall 300,/cgi-bin/routesearch_PF.pl?rtid=1589,1589,/cgi-bin/resultsearch_PF.pl?eid=9563&esortby=cert,9563
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200.0,2018/09/03,Possum Pedal 205,/cgi-bin/routesearch_PF.pl?rtid=654,654,/cgi-bin/resultsearch_PF.pl?eid=8947&esortby=cert,8947
NY: Central/Western,Rochester Bicycling Club / 932030,ACPB,200.0,2018/09/08,200LR_3 Womens Rights Loop,/cgi-bin/routesearch_PF.pl?rtid=1082,1082,/cgi-bin/resultsearch_PF.pl?eid=9480&esortby=cert,9480
MO: Kansas City,Audax Kansas City / 925005,ACPB,300.0,2018/09/08,Columbia - Paris 300K,/cgi-bin/routesearch_PF.pl?rtid=2295,2295,/cgi-bin/resultsearch_PF.pl?eid=9169&esortby=cert,9169
GA: Atlanta,Audax Atlanta / 910004,ACPB,200.0,2018/09/08,Amicalola Foothills Ramble,/cgi-bin/routesearch_PF.pl?rtid=1878,1878,/cgi-bin/resultsearch_PF.pl?eid=9532&esortby=cert,9532
PA: Eastern,Pennsylvania Randonneurs / 938017,ACPB,200.0,2018/09/08,Hawk Mountain 200k,/cgi-bin/routesearch_PF.pl?rtid=947,947,/cgi-bin/resultsearch_PF.pl?eid=9144&esortby=cert,9144
OR: Portland,Oregon Randonneurs / 937020,ACPB,200.0,2018/09/08,Bend 200K,/cgi-bin/routesearch_PF.pl?rtid=1599,1599,/cgi-bin/resultsearch_PF.pl?eid=9548&esortby=cert,9548
