region,club,type,distance,date,finishers,dnf,eid
MO: St. Louis,St Louis Cycling Club / 925034,ACPB,300.0,2018/04/08,0,,9269
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAP,121.0,2018/04/08,9,2.0,9654
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200.0,2018/04/08,2,0.0,9401
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,102.0,2018/04/13,0,,9489
TX: Brownsville,RGV Randos / 943005,RUSAP,100.0,2018/04/14,1,0.0,9070
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,100.0,2018/04/14,28,7.0,9233
GA: Atlanta,Audax Atlanta / 910004,ACPB,300.0,2018/04/14,23,1.0,9526
MA: Westfield,Northeast Sport Cyclists / 921033,ACPB,300.0,2018/04/14,24,4.0,9218
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,600.0,2018/04/14,8,1.0,8929
MD: Capital Region,DC Randonneurs / 946012,ACPB,300.0,2018/04/14,15,1.0,9323
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200.0,2018/04/14,17,2.0,9339
MA: Boston,New England Randonneurs / 921005,RUSAP,100.0,2018/04/14,0,,9666
TX: Brownsville,RGV Randos / 943005,ACPB,200.0,2018/04/14,0,,9071
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,206.0,2018/04/14,3,0.0,8926
MO: Kansas City,Audax Kansas City / 925005,RUSAP,104.0,2018/04/14,3,0.0,9679
CA: Santa Rosa,Santa Rosa Randonneurs / 905171,ACPB,400.0,2018/04/14,30,2.0,9305
PA: Eastern,Pennsylvania Randonneurs / 938017,ACPB,300.0,2018/04/14,22,1.0,9136
MO: Kansas City,Audax Kansas City / 925005,ACPB,300.0,2018/04/14,7,6.0,9158
IA: Central,Iowa Randonneurs / 915005,RUSAP,110.0,2018/04/14,0,,9288
WA: Tri-Cities,Desert River Randonneurs / 947004,ACPB,400.0,2018/04/14,13,1.0,9127
TX: Brownsville,RGV Randos / 943005,ACPB,300.0,2018/04/14,0,,9072
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,317.0,2018/04/14,2,0.0,8927
CA: San Diego,San Diego Randonneurs / 905140,ACPB,300.0,2018/04/14,6,0.0,9010
IA: Central,Iowa Randonneurs / 915005,ACPB,200.0,2018/04/14,0,3.0,9289
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,400.0,2018/04/14,0,,8928
MD: Capital Region,DC Randonneurs / 946012,ACPB,200.0,2018/04/14,6,2.0,9322
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,ACPB,200.0,2018/04/14,41,5.0,9089
FL: Central,Central Florida Randonneurs / 909062,ACPB,600.0,2018/04/21,22,2.0,9557
MO: Kansas City,Audax Kansas City / 925005,RUSAP,130.0,2018/04/21,2,0.0,9671
MA: Boston,New England Randonneurs / 921005,ACPB,200.0,2018/04/21,46,2.0,9510
NE: Omaha,Nebraska Sandhills Randonneurs / 927005,ACPB,300.0,2018/04/21,7,2.0,9150
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAB,300.0,2018/04/21,3,0.0,9684
SD: Sioux Falls,Falls Area Randonneurs / 941005,ACPB,200.0,2018/04/21,3,0.0,9191
WI: Western,Driftless Randonneurs / 949007,ACPB,200.0,2018/04/21,8,0.0,9376
VA: Tidewater,Tidewater Randonneurs / 946002,ACPB,400.0,2018/04/21,2,0.0,8991
TX: Houston,Houston Randonneurs / 943030,ACPB,600.0,2018/04/21,3,0.0,9110
OH: Columbus,Ohio Randonneurs / 935012,ACPB,300.0,2018/04/21,20,1.0,8874
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,119.0,2018/04/21,28,1.0,9234
CA: Fresno,Fresno Cycling Club / 905058,ACPB,400.0,2018/04/21,10,2.0,8998
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,400.0,2018/04/21,45,7.0,9037
MI: Detroit,Detroit Randonneurs / 922015,ACPB,200.0,2018/04/21,27,1.0,9596
TX: Houston,Houston Randonneurs / 943030,ACPB,200.0,2018/04/21,2,0.0,9108
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,104.0,2018/04/21,6,0.0,9177
MO: Kansas City,Audax Kansas City / 925005,RUSAB,201.0,2018/04/21,9,0.0,9670
